Element,Line,Type,Energy
Cs,Lb1,Escape Peak (Si),2.9185
La,La2,Escape Peak (Si),2.93
Cs,Lb4,Escape Peak (Si),2.943
La,La1,Escape Peak (Si),2.947
Ar,Ka2,Emission Line,2.9553
Ar,Ka1,Emission Line,2.9575
Br,La2,Sum Peak (2x),2.96
Br,La1,Sum Peak (2x),2.962
Se,Lb4,Sum Peak (2x),2.971
Al,Ka2,Sum Peak (2x),2.9722
Al,Ka1,Sum Peak (2x),2.973
Ag,La2,Emission Line,2.977
Se,Lb3,Sum Peak (2x),2.9826
Ag,La1,Emission Line,2.9827
Pd,Lb1,Emission Line,2.9895
Cs,Lb3,Escape Peak (Si),3.011
Pd,Lb4,Emission Line,3.0441
Br,Lb1,Sum Peak (2x),3.052
Pd,Lb3,Emission Line,3.0717
Al,Kb3,Sum Peak (2x),3.114
Al,Kb1,Sum Peak (2x),3.114
Ce,La2,Escape Peak (Si),3.1206
Cd,La2,Emission Line,3.1261
Ba,Lb1,Escape Peak (Si),3.1283
Cd,La1,Emission Line,3.1328
V,Ka3,Escape Peak (Si),3.1383
Ce,La1,Escape Peak (Si),3.1392
Ag,Lb1,Emission Line,3.15
Ba,Lb4,Escape Peak (Si),3.152
Kr,La2,Sum Peak (2x),3.1668
Kr,La1,Sum Peak (2x),3.1692
Br,Lb4,Sum Peak (2x),3.186
Ar,Kb3,Emission Line,3.19
Ar,Kb1,Emission Line,3.1902
Br,Lb3,Sum Peak (2x),3.2
Ag,Lb4,Emission Line,3.2022
Ba,Lb3,Escape Peak (Si),3.226
K,Ka3,Emission Line,3.2298
Ag,Lb3,Emission Line,3.233
Ti,Kb1,Escape Peak (Si),3.2334
Ti,Kb3,Escape Peak (Si),3.2334
V,Ka2,Escape Peak (Si),3.2452
V,Ka1,Escape Peak (Si),3.2529
Ti,Kb5,Escape Peak (Si),3.264
Kr,Lb1,Sum Peak (2x),3.2718
In,La2,Emission Line,3.2786
In,La1,Emission Line,3.2861
K,Ka2,Emission Line,3.3111
K,Ka1,Emission Line,3.3138
Cd,Lb1,Emission Line,3.3151
Pr,La2,Escape Peak (Si),3.3157
Pr,La1,Escape Peak (Si),3.3352
La,Lb1,Escape Peak (Si),3.338
La,Lb4,Escape Peak (Si),3.357
Cd,Lb4,Emission Line,3.3654
Si,Ka3,Sum Peak (2x),3.3786
Rb,La2,Sum Peak (2x),3.382
Rb,La1,Sum Peak (2x),3.384
Kr,Lb4,Sum Peak (2x),3.3976
Cd,Lb3,Emission Line,3.3996
Kr,Lb3,Sum Peak (2x),3.4132
Sn,La2,Emission Line,3.4358
La,Lb3,Escape Peak (Si),3.438
Sn,La1,Emission Line,3.4441
Si,Ka2,Sum Peak (2x),3.4784
Si,Ka1,Sum Peak (2x),3.4796
In,Lb1,Emission Line,3.4866
Rb,Lb1,Sum Peak (2x),3.502
Nd,La2,Escape Peak (Si),3.5047
Nd,La1,Escape Peak (Si),3.5276
In,Lb4,Emission Line,3.5348
Ce,Lb1,Escape Peak (Si),3.5616
In,Lb3,Emission Line,3.5727
Ce,Lb4,Escape Peak (Si),3.574
K,Kb3,Emission Line,3.5901
K,Kb1,Emission Line,3.5901
Cr,Ka3,Escape Peak (Si),3.593
Sb,La2,Emission Line,3.5945
Ca,Ka3,Emission Line,3.6001
Sb,La1,Emission Line,3.6038
Sr,La2,Sum Peak (2x),3.608
Sr,La1,Sum Peak (2x),3.6116
Rb,Lb4,Sum Peak (2x),3.6326
Rb,Lb3,Sum Peak (2x),3.6518
Ce,Lb3,Escape Peak (Si),3.661
Sn,Lb1,Emission Line,3.6628
Si,Kb1,Sum Peak (2x),3.674
Si,Kb3,Sum Peak (2x),3.674
Ca,Ka2,Emission Line,3.6888
Ca,Ka1,Emission Line,3.6923
Cr,Ka2,Escape Peak (Si),3.7052
Pm,La2,Escape Peak (Si),3.707
Sn,Lb4,Emission Line,3.7085
Cr,Ka1,Escape Peak (Si),3.7149
V,Kb3,Escape Peak (Si),3.7278
V,Kb1,Escape Peak (Si),3.7278
Pm,La1,Escape Peak (Si),3.732
Sr,Lb1,Sum Peak (2x),3.742
Sn,Lb3,Emission Line,3.7504
Te,La2,Emission Line,3.7576
V,Kb5,Escape Peak (Si),3.763
Te,La1,Emission Line,3.768
Pr,Lb1,Escape Peak (Si),3.7917
Pr,Lb4,Escape Peak (Si),3.798
Sb,Lb1,Emission Line,3.8425
Y,La2,Sum Peak (2x),3.8446
Y,La1,Sum Peak (2x),3.8484
Sr,Lb4,Sum Peak (2x),3.8714
Sb,Lb4,Emission Line,3.8853
Sr,Lb3,Sum Peak (2x),3.892
Pr,Lb3,Escape Peak (Si),3.893
Sm,La2,Escape Peak (Si),3.9051
